r_mult,pts,exit_reason,sl_pts,entry_px,exit_px,timestamp,date,session,pred_class,regime,direction,confidence,atr_entry,pnl_usd,win,year,month
1.9732142857142858,27.625,TRAIL,14.0,13824.75,13797.125,2023-01-03 16:43:00,2023-01-03,NY,3,SHORT_REV,SHORT,0.9983579516410828,24.25,552.5,1,2023,2023-01
1.8214285714285714,25.5,TRAIL,14.0,13822.75,13797.25,2023-01-03 16:44:00,2023-01-03,NY,3,SHORT_REV,SHORT,0.9978943467140198,24.5,510.0,1,2023,2023-01
1.1977040816326345,16.767857142856883,TRAIL,14.0,13792.5,13775.732142857143,2023-01-03 16:45:00,2023-01-03,NY,3,SHORT_REV,SHORT,0.9958204030990601,25.464285714285715,335.35714285713766,1,2023,2023-01
0.0,0.0,BE,14.0,13452.0,13452.0,2023-01-06 16:47:00,2023-01-06,NY,4,LONG_REV,LONG,0.9950867295265198,28.125,0.0,0,2023,2023-01
0.0,0.0,BE,14.0,13467.0,13467.0,2023-01-06 16:52:00,2023-01-06,NY,4,LONG_REV,LONG,0.9983822107315063,22.732142857142858,0.0,0,2023,2023-01
0.0,0.0,BE,14.0,13475.5,13475.5,2023-01-06 16:53:00,2023-01-06,NY,4,LONG_REV,LONG,0.9961840510368347,21.357142857142858,0.0,0,2023,2023-01
-1.0000000000000133,-7.742857142857247,SL,7.742857142857144,13773.25,13780.992857142857,2023-01-10 16:02:00,2023-01-10,NY,1,SHORT_BREAK,SHORT,0.994491457939148,9.678571428571429,-154.85714285714494,0,2023,2023-01
0.0,0.0,BE,8.914285714285715,13798.5,13798.5,2023-01-10 16:03:00,2023-01-10,NY,4,LONG_REV,LONG,0.8262858986854553,11.142857142857142,0.0,0,2023,2023-01
-1.0,-6.0,SL,6.0,14213.75,14219.75,2023-01-16 10:26:00,2023-01-16,LON,1,SHORT_BREAK,SHORT,0.9975186586380005,4.125,-120.0,0,2023,2023-01
0.0,0.0,BE,6.0,14214.5,14214.5,2023-01-16 10:27:00,2023-01-16,LON,4,LONG_REV,LONG,0.9806618690490723,4.25,0.0,0,2023,2023-01
-1.0,-6.0,SL,6.0,14213.75,14219.75,2023-01-16 10:28:00,2023-01-16,LON,1,SHORT_BREAK,SHORT,0.9944084286689758,4.267857142857143,-120.0,0,2023,2023-01
0.0,0.0,BE,6.0,14215.75,14215.75,2023-01-16 10:29:00,2023-01-16,LON,4,LONG_REV,LONG,0.9952465891838074,4.178571428571429,0.0,0,2023,2023-01
0.0,0.0,BE,6.0,14216.25,14216.25,2023-01-16 10:30:00,2023-01-16,LON,4,LONG_REV,LONG,0.9778851866722107,4.214285714285714,0.0,0,2023,2023-01
-1.0,-6.0,SL,6.0,14213.25,14219.25,2023-01-16 10:31:00,2023-01-16,LON,1,SHORT_BREAK,SHORT,0.999036431312561,4.178571428571429,-120.0,0,2023,2023-01
-1.0,-6.0,SL,6.0,14218.75,14212.75,2023-01-16 10:32:00,2023-01-16,LON,4,LONG_REV,LONG,0.9897574186325073,4.303571428571429,-120.0,0,2023,2023-01
0.0,0.0,BE,6.0,14215.5,14215.5,2023-01-16 10:34:00,2023-01-16,LON,1,SHORT_BREAK,SHORT,0.9957631826400757,4.392857142857143,0.0,0,2023,2023-01
0.0,0.0,BE,6.0,14213.0,14213.0,2023-01-16 10:40:00,2023-01-16,LON,1,SHORT_BREAK,SHORT,0.9981787204742432,4.392857142857143,0.0,0,2023,2023-01
0.0,0.0,BE,6.0,14208.5,14208.5,2023-01-16 10:41:00,2023-01-16,LON,1,SHORT_BREAK,SHORT,0.9974370002746582,4.410714285714286,0.0,0,2023,2023-01
0.0,0.0,BE,6.0,14204.0,14204.0,2023-01-16 10:42:00,2023-01-16,LON,1,SHORT_BREAK,SHORT,0.9969101548194885,4.678571428571429,0.0,0,2023,2023-01
0.0,0.0,BE,6.0,14203.25,14203.25,2023-01-16 10:44:00,2023-01-16,LON,4,LONG_REV,LONG,0.9726141095161438,4.660714285714286,0.0,0,2023,2023-01
-1.0,-6.0,SL,6.0,14199.5,14205.5,2023-01-16 10:46:00,2023-01-16,LON,1,SHORT_BREAK,SHORT,0.9976192116737366,4.589285714285714,-120.0,0,2023,2023-01
0.0,0.0,BE,6.0,14202.25,14202.25,2023-01-16 10:47:00,2023-01-16,LON,4,LONG_REV,LONG,0.9863319396972656,4.767857142857143,0.0,0,2023,2023-01
-1.0,-6.0,SL,6.0,14204.5,14198.5,2023-01-16 10:48:00,2023-01-16,LON,4,LONG_REV,LONG,0.9835372567176819,4.696428571428571,-120.0,0,2023,2023-01
